"","id","sample.size","ncase","ncontrol","sex","category","subcategory","unit","group_name","build","consortium","year","population","trait","pmid","filename","nsnp","delimiter","header","mr","chr_col","pos_col","oa_col","ea_col","snp_col","pval_col","beta_col","se_col","eaf_col"
"1","finn-a-AB1_ARTHROPOD",96499,628,95871,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Arthropod-borne viral fevers and viral haemorrhagic fevers",NA,"finngen_r2_AB1_ARTHROPOD.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"2","finn-a-AB1_BACT_BIR_OTHER_INF_AGENTS",96499,580,95919,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Bacterial, viral and other infectious agents",NA,"finngen_r2_AB1_BACT_BIR_OTHER_INF_AGENTS.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"3","finn-a-AB1_HIV",96499,132,96367,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Human immunodeficiency virus [HIV] disease",NA,"finngen_r2_AB1_HIV.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"4","finn-a-AB1_INFECTIONS",96499,16844,79655,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Certain infectious and parasitic diseases",NA,"finngen_r2_AB1_INFECTIONS.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"5","finn-a-AB1_INTESTINAL_INFECTIONS",96499,8247,88252,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Intestinal infectious diseases",NA,"finngen_r2_AB1_INTESTINAL_INFECTIONS.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"6","finn-a-AB1_MYCOSES",96499,1496,95003,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Mycoses",NA,"finngen_r2_AB1_MYCOSES.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"7","finn-a-AB1_OTHER_BACTERIAL",96499,7078,89421,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Other bacterial diseases",NA,"finngen_r2_AB1_OTHER_BACTERIAL.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"8","finn-a-AB1_OTHER_INFECTIONS",96499,418,96081,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Other infectious diseases",NA,"finngen_r2_AB1_OTHER_INFECTIONS.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"9","finn-a-AB1_OTHER_SPIROCHAETAL",96499,403,96096,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Other spirochaetal diseases",NA,"finngen_r2_AB1_OTHER_SPIROCHAETAL.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"10","finn-a-AB1_OTHER_VIRAL",96499,1313,95186,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Other viral diseases",NA,"finngen_r2_AB1_OTHER_VIRAL.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
