phenocode	name	category	n_cases	n_controls	path_bucket	path_https
AB1_ARTHROPOD	Arthropod-borne viral fevers and viral haemorrhagic fevers	Infectious and parasitic diseases	628	95871	gs://finngen-public-data-r2/summary_stats/finngen_r2_AB1_ARTHROPOD.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_AB1_ARTHROPOD.gz
AB1_BACT_BIR_OTHER_INF_AGENTS	Bacterial, viral and other infectious agents	Infectious and parasitic diseases	580	95919	gs://finngen-public-data-r2/summary_stats/finngen_r2_AB1_BACT_BIR_OTHER_INF_AGENTS.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_AB1_BACT_BIR_OTHER_INF_AGENTS.gz
AB1_HIV	Human immunodeficiency virus [HIV] disease	Infectious and parasitic diseases	132	96367	gs://finngen-public-data-r2/summary_stats/finngen_r2_AB1_HIV.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_AB1_HIV.gz
AB1_INFECTIONS	Certain infectious and parasitic diseases	Infectious and parasitic diseases	16844	79655	gs://finngen-public-data-r2/summary_stats/finngen_r2_AB1_INFECTIONS.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_AB1_INFECTIONS.gz
AB1_INTESTINAL_INFECTIONS	Intestinal infectious diseases	Infectious and parasitic diseases	8247	88252	gs://finngen-public-data-r2/summary_stats/finngen_r2_AB1_INTESTINAL_INFECTIONS.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_AB1_INTESTINAL_INFECTIONS.gz
AB1_MYCOSES	Mycoses	Infectious and parasitic diseases	1496	95003	gs://finngen-public-data-r2/summary_stats/finngen_r2_AB1_MYCOSES.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_AB1_MYCOSES.gz
AB1_OTHER_BACTERIAL	Other bacterial diseases	Infectious and parasitic diseases	7078	89421	gs://finngen-public-data-r2/summary_stats/finngen_r2_AB1_OTHER_BACTERIAL.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_AB1_OTHER_BACTERIAL.gz
AB1_OTHER_INFECTIONS	Other infectious diseases	Infectious and parasitic diseases	418	96081	gs://finngen-public-data-r2/summary_stats/finngen_r2_AB1_OTHER_INFECTIONS.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_AB1_OTHER_INFECTIONS.gz
AB1_OTHER_SPIROCHAETAL	Other spirochaetal diseases	Infectious and parasitic diseases	403	96096	gs://finngen-public-data-r2/summary_stats/finngen_r2_AB1_OTHER_SPIROCHAETAL.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_AB1_OTHER_SPIROCHAETAL.gz
AB1_OTHER_VIRAL	Other viral diseases	Infectious and parasitic diseases	1313	95186	gs://finngen-public-data-r2/summary_stats/finngen_r2_AB1_OTHER_VIRAL.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_AB1_OTHER_VIRAL.gz
AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST	Pediculosis, acariasis and other infestations	Infectious and parasitic diseases	277	96222	gs://finngen-public-data-r2/summary_stats/finngen_r2_AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST.gz
AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES	Sequelae of infectious and parasitic diseases	Infectious and parasitic diseases	598	95901	gs://finngen-public-data-r2/summary_stats/finngen_r2_AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES.gz
AB1_SEXUAL_TRANSMISSION	Infections with a predominantly sexual mode of transmission	Infectious and parasitic diseases	2129	94370	gs://finngen-public-data-r2/summary_stats/finngen_r2_AB1_SEXUAL_TRANSMISSION.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_AB1_SEXUAL_TRANSMISSION.gz
AB1_TUBERCULOSIS	Tuberculosis	Infectious and parasitic diseases	502	95997	gs://finngen-public-data-r2/summary_stats/finngen_r2_AB1_TUBERCULOSIS.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_AB1_TUBERCULOSIS.gz
AB1_VIRAL_CNS	Viral infections of the central nervous system	Infectious and parasitic diseases	406	96093	gs://finngen-public-data-r2/summary_stats/finngen_r2_AB1_VIRAL_CNS.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_AB1_VIRAL_CNS.gz
AB1_VIRAL_HEPATITIS	Viral hepatitis	Infectious and parasitic diseases	448	96051	gs://finngen-public-data-r2/summary_stats/finngen_r2_AB1_VIRAL_HEPATITIS.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_AB1_VIRAL_HEPATITIS.gz
AB1_VIRAL_SKIN_MUCOUS_MEMBRANE	Viral infections characterized by skin and mucous membrane lesions	Infectious and parasitic diseases	1865	94634	gs://finngen-public-data-r2/summary_stats/finngen_r2_AB1_VIRAL_SKIN_MUCOUS_MEMBRANE.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_AB1_VIRAL_SKIN_MUCOUS_MEMBRANE.gz
ACUTE_RESPIRATORY_INFECTIONS	Asthma/COPD-related acute respiratory infections	Other	15933	73769	gs://finngen-public-data-r2/summary_stats/finngen_r2_ACUTE_RESPIRATORY_INFECTIONS.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_ACUTE_RESPIRATORY_INFECTIONS.gz
AD	Alzheimer's disease	Other	1788	67736	gs://finngen-public-data-r2/summary_stats/finngen_r2_AD.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_AD.gz
AD_AM	Alzheimer's disease (Atypical or mixed)	Other	342	67785	gs://finngen-public-data-r2/summary_stats/finngen_r2_AD_AM.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_AD_AM.gz
AD_AM_EXMORE	Alzheimer's disease (Atypical or mixed)	Other	342	36873	gs://finngen-public-data-r2/summary_stats/finngen_r2_AD_AM_EXMORE.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_AD_AM_EXMORE.gz
AD_EO	Alzheimer's disease (Early onset)	Other	314	67781	gs://finngen-public-data-r2/summary_stats/finngen_r2_AD_EO.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_AD_EO.gz
AD_EO_EXMORE	Alzheimer�s disease (Early onset)	Other	314	36873	gs://finngen-public-data-r2/summary_stats/finngen_r2_AD_EO_EXMORE.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_AD_EO_EXMORE.gz
AD_EXMORE	Alzheimer's disease (more excluded)	Other	1788	36873	gs://finngen-public-data-r2/summary_stats/finngen_r2_AD_EXMORE.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_AD_EXMORE.gz
AD_LO	Alzheimer's disease (Late onset)	Other	1232	67778	gs://finngen-public-data-r2/summary_stats/finngen_r2_AD_LO.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_AD_LO.gz
AD_LO_EXMORE	Alzheimer�s disease (Late onset)	Other	1232	36873	gs://finngen-public-data-r2/summary_stats/finngen_r2_AD_LO_EXMORE.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_AD_LO_EXMORE.gz
ALCOETHTOXIC	Toxic effect of ethanol	Other	311	96188	gs://finngen-public-data-r2/summary_stats/finngen_r2_ALCOETHTOXIC.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_ALCOETHTOXIC.gz
ALCOHOLACUTE10	Acute alcohol intoxication	Other	1264	95235	gs://finngen-public-data-r2/summary_stats/finngen_r2_ALCOHOLACUTE10.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_ALCOHOLACUTE10.gz
